product_scope,market_date,institution_total_sv_18,detail_fields,detail_values,detail_sum,difference_sv_18_minus_detail_sum,sv_15_futures_quantity,classification
KOSPI200_CALL_U,20250930,-12233,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-12032|-275|-1|0|0|0|0|0,-12308,75,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251001,-7948,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-6908|-410|-2|0|0|194|0|0,-7126,-822,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251002,-4243,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-4255|-2022|120|-456|0|-194|0|0,-6807,2564,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251013,329,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,715|-407|0|0|0|0|0|0,308,21,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251014,-518,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,223|-723|-1|0|0|0|0|0,-501,-17,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251015,-25,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-22|0|0|0|0|0|0|0,-22,-3,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251016,-492,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,19|-545|0|0|0|0|0|0,-526,34,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251017,-542,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-231|-396|2|0|0|0|0|0,-625,83,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251020,-103,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,309|-408|-1|0|0|0|0|0,-100,-3,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251021,-393,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-315|4|0|0|0|0|0|0,-311,-82,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251022,66,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,59|3|0|0|0|0|0|0,62,4,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251023,-217,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-208|-8|0|0|0|0|0|0,-216,-1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251024,-284,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,121|-406|-1|1|0|0|0|0,-285,1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251027,205,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,225|-22|0|0|0|0|0|0,203,2,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251028,90,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,59|17|0|0|0|0|0|0,76,14,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251030,-1119,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1130|12|1|1|0|0|0|0,-1116,-3,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251031,-1409,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1368|-43|0|0|0|0|0|0,-1411,2,0,OPTION_SPECIFIC_SEMANTICS
